towerdb owner,identification - site key,identification - code,identification - fl,position - site name,identification - other mno fl,position - macro region,position - region,position - municipality,position - address,position - latitude,position - longitude,category - categorization by transmission sys (subcluster),category - categorization by site type,column1,category - categorisation by inhabitants,other - ownership,other - status,column2,column3,column4,column5,column6,column7,column8,column9,column10,lease contract - current annual lease fee,lease contract - lease contract comment,column11,column12,column13,column14,tenants - anchor,tenants - vf - ran sharing,tenants - vf - passive,tenants - wind - ran sharing,tenants - wind - passive,tenants - cosmote - passive,tenants - ran sharing tenants,tenants - passive tenants,tenants - non-mno tenants,tenants - non-mno tenant name,tenants - total tenants,column15,ee - no. of 24hr generators,ee - no. of standby generators,kpi - sites,kpi - tenants,msa - bts/replacement,msa - bts commitment site,column16,infrastructure type - technology,infrastructure type - fibre / microwave,infrastructure type - floor space,infrastructure type - tower height,column17,notified-97 (gr use only),changes (gr use only),msa - billing trigger stop date,other - indoor vs outdoor,skylon - category,msa - standard configuration,msa - construction type,msa - hub sites total mw diameter,bp - consolidated classification,msa - critical site,sensitive - due to,sensitive - description,sensitive - department,notified - department,notified - due to,msa - sensitive,msa - notified,notified - status,notified - details,msa - rectifier,msa - battery,msa - aircon,msa - revenue generating,msa - date of decommissioning,flag indicating bts site,msa - billing trigger date,msa - dg-shelter,msa - critical site in excess of the 15.5% cap,msa - form of active sharing,msa - start date for active sharing arrangement,msa - end date for active sharing arrangement,column18,msa - rfai date,msa - site acceptance date,msa - sub-lease reason,msa - sub-lease applies,msa - date of equipment removal (vf),msa - date of equipment removal (wh)
Vodafone,4357-1004357,4357,1004357,?????????????????? 78,,???????,????????? ????? ??????,????????,"?????????????????? 78, ???????? ?? 15771",37.97953889,23.76113056,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3570.36,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4359-1004359,4359,1004359,??????????? - ???????? MICRO,,???????,??????? ????? ??????,??????????,"?. ??????????? 99, ????????",38.01815,23.80446667,Special,Special,,Heavy Urban,Standalone,In Service,,,,,,,,,,4320,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2,0.5,,,,,Outdoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4362-1004362,4362,1004362,???????? & ???????? ????????,,???????,??????? ????? ??????,??????????,?????? ??????? & ???????? 1,38.02509444,23.80252222,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3161.04,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4363-3016322,4363,3016322,???.???????? ????????,,???????,??????? ????? ??????,??????????,"???. ???????? A 5, ????????",38.02231667,23.79585556,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2443.8,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4364-1004364,4364,1004364,????????? -?????????,,???????,????????? ????? ??????,????????,????. ????????? 83,37.98898333,23.76863333,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,4113.96,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4367-1004367,4367,1004367,??????????????-KAI?A?EIA?,,???????,????????? ????? ??????,????????,?????????????? 107,37.98154444,23.75967778,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2848.56,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4369-1004369,4369,1004369,??????????????-?????????,,???????,????????? ????? ??????,????????,"?????????????? 4, ??????? ??????",37.97481944,23.75168611,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3418.68,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4371-1004371,4371,1004371,?.?????????? - Z???????,,???????,????????? ????? ??????,????????,"?. ?????????? 40, ????????",37.97981667,23.765575,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,4616.4,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4372-3009702,4372,3009702,OULOF PALME & EURINOMIS,,???????,????????? ????? ??????,????????,????? ????? 29-31,37.97870556,23.76251944,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2501.52,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4373-1004373,4373,1004373,???? ??????? -2,,???????,????????? ????? ??????,????????,????. ??????? 25 ????????,37.97870556,23.76474167,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2400,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
